Ngày,Giáđiều chỉnh,Giáđóng cửa,Thay đổi (+/-%),GD KL - KL,GD KL - GT,GD TT - KL,GD TT - GT,Giátham chiếu,Giámở cửa,Giácao nhất,Giáthấp nhất
Ngày,Giáđiều chỉnh,Giáđóng cửa,Thay đổi (+/-%),GD khớp lệnh,GD thỏa thuận,Giátham chiếu,Giámở cửa,Giácao nhất,Giáthấp nhất,,
KL,GT,KL,GT,,,,,,,,
10/06/2020,24.50,24.50,2.20 (9.87 %),"20,400","479,000,000",0,0,22.30,22.30,24.50,22.20
09/06/2020,22.30,22.30,0.00 (0.00 %),"1,922","42,735,200",0,0,22.30,22.1,22.30,22.10
08/06/2020,22.30,22.30,-0.30 (-1.33 %),"4,210","94,697,000",0,0,22.60,22.60,22.60,22.30
05/06/2020,22.60,22.60,0.60 (2.73 %),"2,100","47,020,000",0,0,22.00,22.7,22.70,22.00
04/06/2020,22.00,22.00,-0.30 (-1.35 %),"3,700","81,810,000",0,0,22.30,22.50,22.50,22.00
03/06/2020,22.30,22.30,-0.20 (-0.89 %),"1,501","33,672,200",0,0,22.50,22.1,23.00,22.10
02/06/2020,22.50,22.50,-0.10 (-0.44 %),"5,400","118,410,000",0,0,22.60,22.00,22.50,21.60
01/06/2020,22.60,22.60,0.50 (2.26 %),"1,780","40,162,500",0,0,22.10,22.1,22.80,22.10
29/05/2020,22.10,22.10,0.00 (0.00 %),0,0,0,0,22.10,22.10,22.10,22.10
28/05/2020,22.10,22.10,-0.80 (-3.49 %),"17,900","397,130,000",0,0,22.90,22.1,23.00,22.10
27/05/2020,22.90,22.90,-0.30 (-1.29 %),800,"18,320,000",0,0,23.20,22.40,23.70,22.40
26/05/2020,23.20,23.20,1.10 (4.98 %),"6,900","156,420,000",0,0,22.10,22.0,23.20,22.00
25/05/2020,22.10,22.10,0.00 (0.00 %),"10,000","213,690,000",0,0,22.10,20.60,22.50,20.00
22/05/2020,22.10,22.10,-0.20 (-0.90 %),"1,300","28,640,000",0,0,22.30,22.1,22.10,22.00
21/05/2020,22.30,22.30,-0.60 (-2.62 %),"5,600","121,440,000",0,0,22.90,21.10,22.80,21.10
20/05/2020,22.90,22.90,0.00 (0.00 %),"3,900","88,630,000",0,0,22.90,22.7,22.90,22.70
19/05/2020,22.90,22.90,0.00 (0.00 %),"12,510","285,909,000",0,0,22.90,23.20,23.20,22.70
18/05/2020,22.90,22.90,0.00 (0.00 %),"1,900","43,510,000",0,0,22.90,22.9,22.90,22.90
15/05/2020,22.90,22.90,-0.20 (-0.87 %),"6,500","149,490,000",0,0,23.10,23.30,23.30,22.90
14/05/2020,23.10,23.10,0.10 (0.43 %),"14,300","334,650,000",0,0,23.00,23.1,24.50,23.10
